scope,tier,rate_pct
All,Oc,13.0435
All,Vc,51.991
All,Uc,19.6903
Next.js,Oc,12.952
Next.js,Vc,49.3824
Next.js,Uc,16.5075
Nuxt,Oc,75.0
Nuxt,Vc,80.3785
Nuxt,Uc,46.3299
